zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
00930,00923,Spatial join to ZCTA,18.409307,-66.038888
00931,00925,Spatial join to ZCTA,18.400296,-66.050602
00933,00918,Spatial join to ZCTA,18.421022,-66.065789
00934,00934,Zip matches ZCTA,18.411313,-66.124234
00935,00936,Spatial join to ZCTA,18.395463,-66.073772
00936,00936,Zip matches ZCTA,18.395463,-66.073772
00937,00979,Spatial join to ZCTA,18.444394,-66.030036
00939,00918,Spatial join to ZCTA,18.421022,-66.065789
00940,00909,Spatial join to ZCTA,18.44161,-66.067132
00949,00949,Zip Matches ZCTA,18.430696,-66.212833
00950,00950,Zip matches ZCTA,18.459699,-66.233101
00951,00951,Zip matches ZCTA,18.42753,-66.253789
00952,00952,Zip Matches ZCTA,18.427448,-66.182026
00953,00953,Zip Matches ZCTA,18.360729,-66.251527
00954,00953,Spatial join to ZCTA,18.360729,-66.251527
00955,00921,Spatial join to ZCTA,18.392292,-66.088528
00956,00956,Zip Matches ZCTA,18.321137,-66.170419
00957,00957,Zip Matches ZCTA,18.368414,-66.187693
00958,00957,Spatial join to ZCTA,18.368414,-66.187693
00959,00959,Zip Matches ZCTA,18.385785,-66.155654
00960,00960,Zip matches ZCTA,18.416747,-66.144485
00961,00961,Zip Matches ZCTA,18.413307,-66.164683
00962,00962,Zip Matches ZCTA,18.444614,-66.148819
00963,00962,Spatial join to ZCTA,18.444614,-66.148819
00965,00965,Zip Matches ZCTA,18.433757,-66.114752
00966,00966,Zip Matches ZCTA,18.401521,-66.117597
00968,00968,Zip Matches ZCTA,18.406085,-66.101232
00969,00969,Zip Matches ZCTA,18.368062,-66.108062
00970,00969,Spatial join to ZCTA,18.368062,-66.108062
00971,00971,Zip matches ZCTA,18.318884,-66.11919
00975,00917,Spatial join to ZCTA,18.420674,-66.050105
00976,00976,Zip Matches ZCTA,18.33618,-65.994101
00977,00976,Spatial join to ZCTA,18.33618,-65.994101
00978,00976,Spatial join to ZCTA,18.33618,-65.994101
00979,00979,Zip Matches ZCTA,18.444394,-66.030036
00981,00979,Spatial join to ZCTA,18.444394,-66.030036
00982,00982,Zip Matches ZCTA,18.411261,-65.992045
00983,00983,Zip Matches ZCTA,18.417816,-65.975819
00984,00983,Spatial join to ZCTA,18.417816,-65.975819
00985,00985,Zip Matches ZCTA,18.410774,-65.947927
00986,00985,Spatial join to ZCTA,18.410774,-65.947927
00987,00987,Zip Matches ZCTA,18.338161,-65.941083
00988,00987,Spatial join to ZCTA,18.338161,-65.941083
01001,01001,Zip Matches ZCTA,42.062368,-72.625754
01002,01002,Zip Matches ZCTA,42.36406,-72.458741
01003,01003,Zip Matches ZCTA,42.389698,-72.524009
01004,01002,Spatial join to ZCTA,42.36406,-72.458741
01005,01005,Zip Matches ZCTA,42.418848,-72.106598
